title_len,title_unique,text_len,text_unique,avg_sentence_len,neg,neu,pos,real?
118,15,1800,136,59,0.044,0.823,0.133,0
123,16,1706,117,29,0.12,0.788,0.092,0
118,12,1666,119,70,0.086,0.902,0.011,0
56,8,1625,117,25,0.066,0.929,0.005,1
66,10,377,38,20,0.03,0.748,0.223,1
118,13,1530,110,33,0.066,0.859,0.074,0
140,15,6449,436,38,0.07,0.894,0.035,0
145,18,2160,148,28,0.152,0.773,0.075,0
65,8,855,81,39,0.136,0.778,0.086,0
33,6,821,88,37,0.017,0.896,0.087,0
81,10,618,46,17,0.042,0.794,0.164,0
50,7,658,54,18,0.021,0.951,0.027,1
94,12,1625,119,35,0.077,0.84,0.083,0
46,6,487,49,25,0.12,0.782,0.098,1
72,9,8895,569,56,0.093,0.808,0.1,0
69,9,885,78,27,0.06,0.852,0.088,1
175,19,5644,366,43,0.109,0.813,0.078,0
69,8,3207,222,26,0.084,0.737,0.179,0
82,9,2595,199,33,0.133,0.787,0.08,0
73,9,1351,104,54,0.054,0.889,0.057,0
69,9,2551,181,24,0.031,0.816,0.154,1
117,13,1226,98,29,0.072,0.879,0.049,0
88,10,6275,393,27,0.106,0.798,0.095,0
115,11,2456,168,21,0.082,0.831,0.087,0
99,13,908,61,15,0.026,0.845,0.129,0
87,8,2571,178,21,0.113,0.76,0.126,0
132,18,2521,159,28,0.043,0.926,0.031,0
65,8,3912,284,26,0.073,0.826,0.101,1
90,13,604,55,20,0.031,0.837,0.132,1
55,5,2056,151,72,0.159,0.743,0.098,0
75,10,3532,246,18,0.079,0.868,0.053,1
70,9,1451,128,24,0.051,0.8,0.149,1
127,16,2077,172,63,0.17,0.767,0.063,0
62,11,5290,362,24,0.029,0.878,0.093,1
76,10,771,59,28,0.116,0.798,0.086,1
57,9,616,56,26,0.0,0.948,0.052,1
111,12,806,56,66,0.133,0.676,0.191,0
61,7,1593,133,29,0.17,0.802,0.028,1
70,9,1574,119,27,0.045,0.751,0.203,0
111,14,1019,63,28,0.054,0.878,0.068,0
117,14,2125,166,30,0.097,0.818,0.085,0
68,8,1766,138,22,0.077,0.843,0.08,1
93,10,2254,149,42,0.088,0.847,0.065,0
79,9,3270,241,31,0.08,0.808,0.111,0
60,7,4723,316,24,0.064,0.812,0.124,1
72,9,4670,316,22,0.107,0.802,0.091,1
75,11,4109,261,25,0.057,0.89,0.053,1
145,19,2789,200,23,0.062,0.872,0.066,0
92,10,2860,204,20,0.11,0.73,0.16,0
69,10,1527,127,30,0.149,0.762,0.089,1
60,7,2631,192,29,0.033,0.873,0.095,1
75,10,2544,177,25,0.035,0.805,0.159,1
86,8,3408,226,30,0.148,0.789,0.063,0
116,13,1028,85,24,0.07,0.826,0.105,0
55,8,1149,93,17,0.182,0.784,0.034,1
80,11,959,84,148,0.104,0.802,0.094,0
104,10,4415,288,54,0.064,0.864,0.072,0
102,13,989,81,32,0.04,0.838,0.122,0
84,10,1064,81,57,0.027,0.923,0.05,0
69,7,1994,151,30,0.106,0.753,0.142,0
63,7,3499,246,18,0.103,0.809,0.088,1
71,9,2595,186,22,0.048,0.935,0.017,1
53,6,2106,159,24,0.068,0.858,0.074,0
107,12,2167,145,33,0.082,0.893,0.025,0
62,8,1193,95,32,0.053,0.836,0.111,1
78,11,196,16,17,0.174,0.566,0.259,0
80,8,5482,380,30,0.05,0.781,0.169,1
94,10,1922,136,28,0.071,0.801,0.128,0
87,10,2519,200,19,0.086,0.839,0.075,0
65,7,2645,167,61,0.113,0.828,0.059,0
128,11,503,44,38,0.109,0.825,0.066,0
80,10,2559,206,24,0.086,0.816,0.098,1
88,10,520,39,29,0.128,0.846,0.026,0
64,8,448,37,24,0.036,0.834,0.129,1
126,15,1936,137,27,0.045,0.901,0.054,0
74,9,1788,132,24,0.088,0.832,0.08,0
84,10,987,73,22,0.046,0.769,0.184,0
67,8,3309,242,26,0.085,0.819,0.096,1
44,7,1514,125,25,0.095,0.823,0.082,1
69,10,3446,239,30,0.086,0.886,0.029,1
72,10,1215,87,41,0.188,0.812,0.0,0
142,14,1050,82,20,0.087,0.874,0.039,0
92,9,2677,190,36,0.2,0.7,0.1,0
74,9,1052,79,32,0.193,0.736,0.071,0
65,7,2109,158,38,0.098,0.794,0.108,0
85,10,1905,141,34,0.118,0.794,0.087,0
64,10,3919,301,21,0.062,0.84,0.098,1
76,11,1216,76,29,0.143,0.738,0.119,1
86,11,1132,98,26,0.045,0.859,0.096,0
119,14,1526,118,26,0.067,0.85,0.083,0
53,7,379,31,32,0.224,0.721,0.055,1
58,7,234,22,37,0.0,0.874,0.126,1
50,6,2957,194,21,0.031,0.909,0.059,1
76,9,1189,109,13,0.027,0.954,0.018,1
88,11,2473,180,34,0.065,0.776,0.159,0
97,10,3426,205,23,0.159,0.733,0.109,0
64,8,1544,110,22,0.052,0.827,0.12,1
109,12,2903,203,23,0.008,0.927,0.064,0
56,6,3025,243,30,0.032,0.892,0.075,1
80,11,2007,150,36,0.112,0.795,0.093,0
92,11,1836,130,21,0.128,0.818,0.054,0
77,10,1526,115,28,0.037,0.916,0.047,0
106,12,2446,189,28,0.075,0.825,0.1,0
173,18,734,59,15,0.085,0.721,0.194,0
62,7,2163,162,26,0.148,0.741,0.111,1
87,10,473,37,15,0.159,0.76,0.081,1
108,12,5503,368,50,0.065,0.844,0.091,0
67,10,2212,161,23,0.179,0.793,0.028,1
57,8,2887,198,21,0.158,0.75,0.092,1
39,6,1024,103,42,0.013,0.91,0.078,0
78,12,1371,119,60,0.021,0.861,0.119,0
100,10,2069,159,39,0.105,0.834,0.061,0
62,8,488,44,15,0.129,0.837,0.033,1
90,9,2715,183,45,0.016,0.773,0.211,0
63,8,690,53,29,0.123,0.844,0.033,1
91,11,1834,138,43,0.108,0.694,0.198,0
65,8,1902,139,24,0.112,0.7,0.188,1
84,10,4439,188,20,0.055,0.819,0.125,0
74,9,391,36,30,0.0,0.956,0.044,1
58,7,633,51,35,0.038,0.751,0.211,1
95,12,2996,205,40,0.11,0.807,0.084,0
65,8,2212,175,26,0.083,0.881,0.036,1
64,8,3109,229,26,0.023,0.926,0.051,1
116,12,1090,88,34,0.021,0.934,0.045,0
50,7,326,27,26,0.039,0.909,0.052,1
71,7,1150,92,32,0.118,0.871,0.012,0
91,10,2716,164,27,0.105,0.827,0.068,0
52,7,2142,165,21,0.014,0.83,0.156,1
75,9,3081,205,24,0.106,0.83,0.064,0
64,8,7703,463,26,0.048,0.856,0.097,1
114,12,2092,134,24,0.087,0.757,0.156,0
57,7,5031,365,24,0.093,0.787,0.121,1
91,10,9619,621,35,0.03,0.911,0.058,0
95,12,1865,150,67,0.108,0.836,0.056,0
68,9,3016,227,20,0.133,0.738,0.129,1
91,9,1653,123,28,0.061,0.867,0.072,0
98,11,2614,195,28,0.061,0.85,0.089,0
57,6,1895,141,26,0.02,0.9,0.08,1
68,8,603,55,20,0.077,0.764,0.159,1
64,10,1703,137,18,0.052,0.844,0.104,1
86,10,6122,420,28,0.132,0.754,0.114,0
83,10,2422,173,84,0.064,0.863,0.073,0
90,10,1805,133,25,0.074,0.843,0.083,0
136,16,2178,164,36,0.096,0.845,0.06,0
60,6,1430,104,29,0.14,0.801,0.06,1
59,7,3668,243,28,0.086,0.84,0.075,1
61,9,1715,131,28,0.056,0.854,0.09,1
65,9,1306,127,59,0.068,0.802,0.13,0
77,9,863,62,23,0.128,0.83,0.042,1
181,18,2930,214,31,0.128,0.827,0.045,0
62,8,1691,125,24,0.083,0.891,0.026,1
72,9,1223,85,15,0.061,0.865,0.074,1
139,16,3636,228,27,0.08,0.817,0.103,0
91,11,7270,505,17,0.09,0.825,0.085,1
82,10,2591,183,24,0.098,0.827,0.076,0
81,10,796,58,25,0.194,0.761,0.045,0
71,11,2660,207,23,0.166,0.721,0.113,1
76,7,365,30,14,0.0,0.844,0.156,1
68,8,1499,105,22,0.063,0.743,0.194,0
68,10,2426,189,24,0.11,0.802,0.088,1
71,10,2461,166,21,0.186,0.782,0.032,1
64,8,2601,173,25,0.11,0.782,0.108,1
101,12,1674,121,30,0.087,0.906,0.007,0
98,12,3599,261,28,0.21,0.737,0.053,0
61,9,2039,127,30,0.032,0.935,0.033,1
70,8,2314,155,24,0.129,0.714,0.157,0
98,12,3330,232,42,0.179,0.767,0.054,0
99,11,2632,178,28,0.139,0.816,0.044,0
56,8,391,36,19,0.101,0.899,0.0,1
77,7,1780,128,21,0.154,0.81,0.036,0
95,11,6101,344,31,0.048,0.902,0.05,0
79,9,2059,151,53,0.19,0.718,0.092,0
66,9,4193,287,32,0.072,0.83,0.099,0
56,7,2196,169,41,0.032,0.888,0.08,0
64,8,3425,258,27,0.03,0.885,0.085,1
80,12,2254,163,26,0.065,0.876,0.059,1
90,12,5020,353,23,0.081,0.828,0.091,0
89,9,1059,79,28,0.096,0.79,0.114,0
128,15,420,33,21,0.0,0.837,0.163,0
53,7,1665,126,23,0.082,0.828,0.089,1
63,9,649,56,21,0.0,0.836,0.164,1
75,10,1357,103,33,0.045,0.891,0.065,0
49,7,2518,178,23,0.068,0.859,0.072,1
122,15,3121,228,19,0.177,0.782,0.041,0
63,9,1542,126,21,0.029,0.875,0.095,1
61,7,2933,220,18,0.062,0.822,0.116,1
97,12,3890,231,36,0.09,0.774,0.137,0
60,7,1935,142,34,0.054,0.879,0.067,0
66,8,436,45,21,0.0,0.929,0.071,1
65,9,2529,177,25,0.161,0.812,0.027,1
58,7,412,33,35,0.029,0.971,0.0,1
66,8,1741,124,21,0.103,0.851,0.046,1
83,9,844,61,62,0.187,0.796,0.016,0
67,8,417,36,24,0.068,0.858,0.075,1
67,8,3163,210,24,0.076,0.842,0.081,1
94,11,2128,157,27,0.096,0.861,0.043,1
95,8,4370,288,24,0.034,0.829,0.137,0
68,8,628,60,25,0.022,0.945,0.033,1
44,7,2567,164,23,0.06,0.872,0.068,1
72,7,4095,263,21,0.044,0.856,0.1,1
132,17,1259,90,29,0.133,0.808,0.059,0
90,12,4469,291,25,0.046,0.819,0.135,0
84,11,3362,222,27,0.056,0.772,0.172,0
86,10,2126,151,23,0.065,0.821,0.114,0
65,9,2401,184,22,0.113,0.787,0.099,1
58,9,2782,213,23,0.117,0.742,0.14,1
59,8,1710,109,23,0.131,0.811,0.057,1
46,7,5068,329,24,0.039,0.883,0.078,1
85,10,4499,267,28,0.139,0.81,0.052,1
66,8,20458,1235,51,0.137,0.781,0.081,0
51,7,2312,190,20,0.04,0.874,0.086,1
74,7,774,64,24,0.035,0.877,0.088,1
62,7,1186,82,23,0.022,0.962,0.015,1
64,9,642,53,26,0.043,0.89,0.067,1
73,7,2107,145,22,0.105,0.847,0.048,0
62,8,561,52,22,0.021,0.932,0.047,1
63,7,714,58,22,0.0,1.0,0.0,1
60,7,229,19,34,0.044,0.884,0.072,1
73,7,3369,257,28,0.067,0.892,0.041,1
71,7,3243,205,36,0.088,0.802,0.11,0
172,18,1477,125,49,0.061,0.835,0.103,0
53,7,2368,178,24,0.075,0.819,0.105,1
75,9,564,45,26,0.12,0.809,0.071,1
60,9,613,57,22,0.015,0.904,0.081,1
83,11,2357,185,19,0.046,0.857,0.097,1
72,9,3275,220,26,0.131,0.764,0.105,0
57,5,1296,96,23,0.035,0.947,0.018,1
111,11,1261,96,25,0.036,0.879,0.085,0
138,17,1871,138,20,0.049,0.878,0.073,0
90,5,2277,161,17,0.044,0.824,0.132,0
73,7,2275,156,46,0.115,0.838,0.047,0
67,8,1144,80,55,0.03,0.912,0.059,0
58,8,2398,187,25,0.032,0.912,0.055,1
59,7,943,72,23,0.228,0.748,0.024,1
64,7,6504,424,31,0.182,0.745,0.073,0
69,7,2039,151,45,0.141,0.764,0.094,0
64,7,5225,351,23,0.07,0.83,0.101,1
55,8,2849,207,23,0.069,0.86,0.071,1
75,8,2199,154,26,0.153,0.694,0.154,0
49,5,688,57,36,0.092,0.879,0.029,0
112,12,4659,324,66,0.185,0.74,0.076,0
80,8,2228,158,25,0.086,0.879,0.035,0
161,21,5706,346,29,0.078,0.853,0.069,0
64,8,517,50,16,0.0,1.0,0.0,1
65,7,1769,140,23,0.207,0.768,0.025,1
68,7,4983,333,31,0.182,0.711,0.107,0
55,7,410,37,21,0.243,0.757,0.0,1
100,11,1350,97,16,0.27,0.724,0.006,0
66,6,3445,236,21,0.131,0.795,0.074,1
63,8,4951,364,23,0.104,0.84,0.055,1
60,8,6743,404,19,0.136,0.765,0.099,1
70,7,2238,165,39,0.093,0.775,0.132,0
95,9,2908,199,42,0.106,0.832,0.062,0
94,12,4441,298,25,0.076,0.814,0.111,0
95,10,2340,182,38,0.022,0.909,0.069,0
45,4,2175,146,31,0.178,0.788,0.035,0
60,8,3211,210,28,0.045,0.935,0.02,1
77,9,2112,155,25,0.166,0.764,0.07,0
66,9,1033,72,24,0.153,0.734,0.114,1
61,6,9063,527,30,0.123,0.772,0.105,0
59,7,1845,140,29,0.092,0.87,0.038,1
63,8,8192,479,29,0.08,0.849,0.072,0
91,11,3791,249,39,0.132,0.684,0.183,0
92,10,2906,210,37,0.067,0.831,0.101,0
80,9,1977,137,22,0.043,0.85,0.107,1
94,10,1418,95,44,0.021,0.776,0.203,0
97,14,2704,192,26,0.077,0.845,0.078,0
59,7,1318,99,20,0.047,0.773,0.181,1
59,8,352,35,18,0.06,0.94,0.0,1
79,9,2842,196,26,0.07,0.828,0.102,0
114,13,873,66,142,0.055,0.78,0.164,0
95,12,1571,113,20,0.045,0.871,0.085,0
55,8,1739,138,27,0.07,0.806,0.124,1
58,8,1760,105,32,0.073,0.865,0.062,1
81,11,447,38,18,0.038,0.809,0.153,1
67,7,1609,136,26,0.09,0.842,0.068,1
103,12,2257,164,21,0.113,0.798,0.089,0
73,9,1311,99,20,0.019,0.956,0.025,1
49,6,482,42,24,0.061,0.824,0.115,1
56,8,2300,172,31,0.105,0.83,0.065,1
99,11,1553,130,56,0.07,0.715,0.215,0
63,7,5242,370,26,0.134,0.773,0.094,1
66,7,5193,372,26,0.139,0.772,0.089,1
78,7,2440,170,22,0.123,0.781,0.096,0
90,10,575,53,30,0.176,0.755,0.07,0
63,9,510,47,29,0.053,0.857,0.09,1
71,9,2643,185,29,0.107,0.841,0.051,0
90,11,2062,161,30,0.044,0.863,0.093,0
69,9,400,38,31,0.11,0.841,0.049,1
61,7,3152,231,22,0.08,0.83,0.09,1
91,11,2933,199,36,0.056,0.825,0.119,0
61,7,4752,302,22,0.152,0.798,0.049,1
96,7,1668,128,29,0.005,0.821,0.174,0
77,9,3899,259,23,0.067,0.873,0.061,1
67,9,2286,167,23,0.028,0.9,0.072,1
68,8,392,31,20,0.0,0.952,0.048,1
58,7,3770,246,19,0.037,0.82,0.143,1
73,7,2170,165,21,0.149,0.738,0.113,0
99,11,4858,316,25,0.159,0.789,0.052,0
62,7,2510,193,27,0.078,0.833,0.09,1
64,7,1634,111,25,0.024,0.779,0.196,1
74,9,240,25,12,0.0,1.0,0.0,1
119,12,4669,301,13,0.13,0.791,0.08,0
70,10,2286,164,66,0.077,0.804,0.12,0
70,9,967,79,17,0.096,0.873,0.031,1
60,7,384,32,17,0.082,0.853,0.065,1
74,8,412,39,32,0.135,0.791,0.075,1
146,17,1739,131,32,0.186,0.725,0.089,0
124,12,2813,203,25,0.051,0.824,0.125,0
67,8,4636,339,26,0.063,0.823,0.114,1
97,10,925,71,24,0.14,0.845,0.016,1
85,8,5711,371,37,0.107,0.821,0.073,0
104,10,596,46,31,0.144,0.822,0.034,0
64,9,405,34,34,0.0,0.951,0.049,1
62,6,2492,163,21,0.051,0.914,0.035,1
74,10,1807,130,25,0.089,0.845,0.066,1
63,7,2320,152,27,0.056,0.797,0.147,1
94,12,2745,206,44,0.036,0.888,0.076,0
78,9,537,46,30,0.224,0.776,0.0,1
56,8,2258,175,21,0.184,0.739,0.077,1
51,7,2378,174,22,0.024,0.906,0.07,1
51,7,5295,365,20,0.056,0.842,0.101,1
56,7,4016,287,17,0.166,0.789,0.045,1
82,9,526,44,16,0.069,0.803,0.128,1
79,11,755,57,25,0.016,0.795,0.189,1
68,7,395,31,12,0.085,0.865,0.051,1
92,9,499,36,26,0.0,0.959,0.041,1
57,8,4570,277,28,0.039,0.899,0.062,1
48,8,377,37,30,0.047,0.745,0.208,1
126,15,1559,103,21,0.107,0.828,0.065,0
58,7,2565,177,23,0.1,0.774,0.126,1
86,8,1360,105,35,0.031,0.839,0.13,0
120,13,1617,126,33,0.082,0.831,0.086,0
52,8,775,72,19,0.176,0.765,0.059,1
52,8,1502,112,22,0.096,0.812,0.092,1
71,7,3624,250,26,0.093,0.831,0.075,1
65,8,2965,195,20,0.078,0.874,0.048,1
76,9,730,73,13,0.022,0.813,0.165,1
71,10,980,93,29,0.033,0.854,0.113,1
70,10,556,48,29,0.012,0.93,0.058,1
96,9,2187,147,19,0.126,0.821,0.054,0
73,10,497,48,16,0.0,0.79,0.21,1
115,12,1773,129,44,0.04,0.871,0.089,0
63,7,1338,99,22,0.031,0.931,0.038,1
59,8,373,38,30,0.0,0.921,0.079,1
80,10,467,48,14,0.065,0.935,0.0,0
73,8,575,48,14,0.0,0.948,0.052,1
68,8,4406,304,26,0.061,0.839,0.1,1
57,7,535,56,18,0.018,0.877,0.105,1
95,11,3543,239,39,0.059,0.822,0.119,0
65,8,1887,146,30,0.124,0.818,0.059,1
87,12,2284,153,30,0.014,0.886,0.1,0
115,13,1100,87,26,0.023,0.865,0.112,0
96,12,2838,212,29,0.064,0.837,0.099,0
75,8,4582,275,20,0.044,0.856,0.1,1
123,16,1634,124,26,0.085,0.846,0.069,0
51,6,1926,154,55,0.079,0.857,0.065,0
52,6,9247,644,19,0.079,0.819,0.101,1
67,8,4163,277,19,0.129,0.806,0.065,1
47,6,3156,199,21,0.061,0.894,0.046,1
64,7,7469,527,21,0.098,0.744,0.158,1
71,10,3981,282,26,0.095,0.805,0.1,1
82,10,2091,153,24,0.142,0.794,0.064,0
107,11,1514,124,22,0.131,0.827,0.043,0
75,9,3698,249,21,0.175,0.759,0.066,1
152,13,6983,443,38,0.121,0.773,0.106,0
61,8,5179,390,19,0.095,0.78,0.125,1
41,6,1043,99,45,0.055,0.895,0.05,0
96,11,4329,287,31,0.153,0.756,0.091,0
45,6,585,49,17,0.026,0.836,0.138,1
46,7,2298,178,22,0.075,0.887,0.038,1
49,6,4008,291,20,0.037,0.873,0.089,1
87,10,5694,350,19,0.086,0.796,0.118,0
61,9,2133,151,31,0.112,0.835,0.053,0
65,7,2159,154,122,0.09,0.854,0.056,0
121,17,3025,210,39,0.081,0.842,0.077,0
86,9,2140,144,29,0.1,0.848,0.052,0
84,10,3263,238,29,0.121,0.826,0.052,1
106,12,3458,272,22,0.119,0.801,0.079,0
96,13,794,61,14,0.026,0.937,0.037,0
51,7,2049,159,27,0.069,0.827,0.104,1
80,10,3098,216,45,0.053,0.851,0.097,0
57,8,2794,203,19,0.055,0.779,0.166,1
62,6,4701,339,23,0.082,0.795,0.123,1
84,9,3079,212,25,0.079,0.868,0.053,0
60,9,403,35,21,0.0,0.891,0.109,1
127,13,3194,238,98,0.104,0.818,0.078,0
46,7,1003,83,27,0.039,0.802,0.159,1
49,8,1008,82,17,0.036,0.881,0.083,1
68,7,902,72,21,0.108,0.855,0.037,1
85,9,2028,144,26,0.07,0.864,0.066,0
69,10,1797,134,36,0.124,0.804,0.072,0
95,12,1273,81,21,0.11,0.765,0.125,0
135,17,2212,148,27,0.134,0.822,0.043,0
85,7,2151,161,17,0.044,0.825,0.131,0
98,13,9317,585,25,0.054,0.858,0.089,0
61,7,2195,154,21,0.107,0.821,0.072,1
84,11,492,39,27,0.071,0.87,0.059,1
104,12,313,25,36,0.347,0.653,0.0,0
96,11,2624,187,21,0.111,0.829,0.061,1
81,13,2051,172,52,0.041,0.874,0.085,0
63,7,872,61,26,0.046,0.823,0.13,1
50,6,2925,208,24,0.032,0.853,0.115,1
88,12,638,50,84,0.101,0.856,0.044,0
55,8,5094,345,19,0.1,0.778,0.121,1
65,8,665,52,37,0.144,0.762,0.095,1
58,9,4884,330,24,0.088,0.788,0.124,1
108,11,4496,298,37,0.024,0.871,0.106,0
75,10,448,39,19,0.0,0.853,0.147,1
87,9,1959,129,19,0.064,0.829,0.107,0
81,8,3321,210,26,0.114,0.782,0.104,0
68,9,2731,179,22,0.034,0.857,0.108,1
82,11,3079,231,21,0.029,0.856,0.115,1
54,7,440,39,36,0.088,0.912,0.0,1
77,10,1749,136,26,0.081,0.781,0.139,0
83,9,2063,162,46,0.117,0.717,0.166,0
80,10,2238,164,78,0.075,0.864,0.061,0
115,12,2932,205,38,0.162,0.8,0.038,0
73,9,3216,228,21,0.158,0.825,0.017,1
74,9,2035,163,27,0.213,0.75,0.038,1
64,8,565,54,30,0.0,0.97,0.03,1
87,12,2306,163,16,0.2,0.718,0.082,0
63,8,5167,382,30,0.086,0.831,0.083,1
78,10,1819,141,62,0.052,0.853,0.095,0
92,11,5375,361,17,0.128,0.74,0.132,1
84,9,652,47,20,0.052,0.84,0.108,1
93,10,552,48,17,0.0,1.0,0.0,1
68,10,1430,111,25,0.063,0.854,0.083,1
59,8,1859,160,30,0.062,0.849,0.089,1
61,8,2171,167,21,0.042,0.862,0.096,1
87,10,2613,176,25,0.146,0.821,0.033,0
64,9,3092,217,21,0.157,0.752,0.091,1
83,11,5114,361,26,0.116,0.782,0.101,0
59,8,4363,316,25,0.059,0.829,0.113,1
73,9,1428,109,20,0.139,0.785,0.076,1
82,9,2045,142,24,0.055,0.846,0.099,0
63,8,920,78,24,0.057,0.894,0.049,1
104,11,2050,148,45,0.045,0.875,0.08,0
70,7,2030,140,28,0.089,0.84,0.071,0
53,6,4774,340,20,0.066,0.827,0.107,1
95,9,2159,149,35,0.191,0.768,0.041,0
65,10,2575,156,21,0.093,0.812,0.094,0
118,15,2860,197,60,0.096,0.842,0.062,0
79,10,697,49,40,0.0,0.933,0.067,1
47,7,2849,213,24,0.135,0.785,0.08,1
69,8,1622,126,32,0.026,0.851,0.123,1
133,15,5778,357,37,0.044,0.859,0.097,0
78,9,230,23,34,0.0,0.938,0.062,1
108,13,4306,301,29,0.067,0.837,0.096,0
88,10,2875,199,54,0.037,0.851,0.112,0
71,10,2032,160,41,0.08,0.852,0.068,0
67,8,927,80,25,0.103,0.807,0.09,1
67,8,2310,162,23,0.057,0.864,0.079,1
72,9,1817,138,28,0.096,0.865,0.039,1
76,8,3177,202,30,0.099,0.821,0.081,0
107,13,1438,114,21,0.068,0.787,0.145,0
86,11,1621,102,30,0.158,0.76,0.082,0
58,8,926,71,30,0.036,0.842,0.122,1
85,11,851,66,24,0.136,0.818,0.047,1
47,7,1475,116,24,0.143,0.839,0.019,1
58,7,624,54,31,0.02,0.912,0.068,1
72,6,2116,160,64,0.059,0.881,0.061,0
93,10,1993,144,26,0.124,0.774,0.103,0
146,14,10093,572,33,0.031,0.889,0.08,0
66,8,3553,269,25,0.071,0.835,0.094,1
78,8,657,46,24,0.196,0.73,0.073,1
83,9,2676,197,30,0.164,0.729,0.108,0
98,12,2109,161,38,0.14,0.775,0.085,0
79,10,2645,194,26,0.096,0.811,0.093,0
54,6,1486,110,22,0.102,0.781,0.117,1
60,8,2208,168,35,0.051,0.821,0.128,1
63,6,335,34,16,0.051,0.949,0.0,1
156,17,2296,176,29,0.038,0.863,0.099,0
97,10,2026,134,30,0.087,0.863,0.05,0
64,7,2653,182,23,0.036,0.891,0.073,1
58,8,2805,190,22,0.126,0.832,0.042,1
72,9,1800,136,34,0.057,0.83,0.113,0
47,6,972,87,24,0.094,0.807,0.099,0
70,9,2584,154,20,0.071,0.859,0.07,1
69,9,2018,142,20,0.061,0.792,0.147,0
48,6,1446,125,21,0.037,0.864,0.099,1
65,8,611,54,32,0.0,0.818,0.182,0
82,8,588,45,26,0.113,0.821,0.066,1
106,12,1862,137,39,0.105,0.794,0.101,0
58,7,4252,263,26,0.03,0.898,0.072,1
103,11,1757,130,31,0.21,0.676,0.115,0
69,9,2509,199,20,0.032,0.883,0.085,1
64,8,3391,240,28,0.109,0.792,0.099,1
65,9,3819,272,24,0.127,0.784,0.09,0
117,13,2955,195,34,0.092,0.735,0.173,0
86,9,2136,148,42,0.07,0.868,0.062,0
96,11,1965,145,28,0.008,0.904,0.087,0
67,8,2947,218,23,0.145,0.757,0.098,1
140,14,3954,240,30,0.092,0.808,0.1,0
73,10,1941,132,18,0.07,0.861,0.069,1
66,7,2623,177,20,0.069,0.772,0.158,1
84,9,5177,321,57,0.061,0.871,0.067,0
48,3,4536,301,28,0.046,0.83,0.123,1
48,7,402,34,13,0.047,0.775,0.177,1
60,9,506,48,17,0.046,0.917,0.037,1
81,10,2846,210,19,0.117,0.828,0.055,1
88,11,354,32,13,0.04,0.926,0.034,1
65,9,2568,190,25,0.032,0.898,0.07,1
62,9,466,44,20,0.194,0.687,0.119,1
73,8,2064,147,23,0.079,0.88,0.041,1
60,7,2697,188,17,0.044,0.873,0.083,1
91,11,2692,178,24,0.149,0.786,0.065,0
90,9,1186,97,15,0.188,0.7,0.112,0
58,8,3631,202,20,0.023,0.833,0.144,0
84,11,1980,142,35,0.097,0.801,0.102,0
75,10,2088,141,24,0.161,0.776,0.062,1
